commodity,date,price
AHMEDNAGAR(MS),2013-12-01,1043
AHMEDNAGAR(MS),2014-12-01,1175
AHMEDNAGAR(MS),2015-12-01,1389
AJMER(RAJ),2015-01-01,1367
AJMER(RAJ),2016-01-01,939
AJMER(RAJ),2015-02-01,1500
AJMER(RAJ),2016-02-01,978
AJMER(RAJ),2015-03-01,1480
AJMER(RAJ),2015-04-01,1100
AJMER(RAJ),2015-06-01,1513
AJMER(RAJ),2015-07-01,1504
AJMER(RAJ),2015-08-01,2658
AJMER(RAJ),2015-09-01,4411
AJMER(RAJ),2015-10-01,3155
AJMER(RAJ),2014-11-01,1186
AJMER(RAJ),2015-11-01,2072
AJMER(RAJ),2014-12-01,1657
AJMER(RAJ),2015-12-01,1034
ALIGARH(UP),2015-01-01,1717
ALIGARH(UP),2016-01-01,1257
ALIGARH(UP),2015-02-01,1632
ALIGARH(UP),2016-02-01,1086
ALIGARH(UP),2015-03-01,1685
ALIGARH(UP),2015-04-01,1442
ALIGARH(UP),2015-05-01,1346
ALIGARH(UP),2015-06-01,1634
ALIGARH(UP),2015-07-01,1979
ALIGARH(UP),2015-08-01,3303
ALIGARH(UP),2015-09-01,4413
ALIGARH(UP),2015-10-01,3570
ALIGARH(UP),2014-11-01,1706
ALIGARH(UP),2015-11-01,2503
ALIGARH(UP),2014-12-01,1650
ALIGARH(UP),2015-12-01,1483
ALWAR(RAJ),2010-01-01,941
ALWAR(RAJ),2011-01-01,1572
ALWAR(RAJ),2012-01-01,247
ALWAR(RAJ),2013-01-01,977
ALWAR(RAJ),2014-01-01,806
ALWAR(RAJ),2015-01-01,867
ALWAR(RAJ),2016-01-01,912
ALWAR(RAJ),2010-02-01,848
ALWAR(RAJ),2011-02-01,458
ALWAR(RAJ),2012-02-01,263
ALWAR(RAJ),2013-02-01,1050
ALWAR(RAJ),2014-02-01,633
ALWAR(RAJ),2015-02-01,1097
ALWAR(RAJ),2016-02-01,895
ALWAR(RAJ),2010-03-01,1100
ALWAR(RAJ),2012-03-01,650
ALWAR(RAJ),2015-03-01,1560
ALWAR(RAJ),2010-04-01,645
ALWAR(RAJ),2011-04-01,615
ALWAR(RAJ),2012-04-01,665
ALWAR(RAJ),2015-04-01,1370
ALWAR(RAJ),2010-05-01,455
ALWAR(RAJ),2011-05-01,513
ALWAR(RAJ),2012-05-01,552
ALWAR(RAJ),2015-05-01,1302
ALWAR(RAJ),2010-06-01,558
ALWAR(RAJ),2011-06-01,570
ALWAR(RAJ),2012-06-01,592
ALWAR(RAJ),2015-06-01,1075
ALWAR(RAJ),2010-07-01,635
ALWAR(RAJ),2011-07-01,670
ALWAR(RAJ),2012-07-01,707
ALWAR(RAJ),2013-07-01,1563
ALWAR(RAJ),2010-08-01,795
ALWAR(RAJ),2011-08-01,783
ALWAR(RAJ),2012-08-01,665
ALWAR(RAJ),2013-08-01,3248
ALWAR(RAJ),2014-08-01,1680
ALWAR(RAJ),2010-09-01,1198
ALWAR(RAJ),2011-09-01,1294
ALWAR(RAJ),2012-09-01,690
ALWAR(RAJ),2013-09-01,3279
ALWAR(RAJ),2014-09-01,1767
ALWAR(RAJ),2015-09-01,3727
ALWAR(RAJ),2010-10-01,1118
ALWAR(RAJ),2011-10-01,1150
ALWAR(RAJ),2013-10-01,3660
ALWAR(RAJ),2014-10-01,1414
ALWAR(RAJ),2015-10-01,2775
ALWAR(RAJ),2010-11-01,1448
ALWAR(RAJ),2011-11-01,649
ALWAR(RAJ),2012-11-01,807
ALWAR(RAJ),2013-11-01,2721
ALWAR(RAJ),2014-11-01,1215
ALWAR(RAJ),2015-11-01,1733
ALWAR(RAJ),2010-12-01,1576
ALWAR(RAJ),2011-12-01,423
ALWAR(RAJ),2012-12-01,931
ALWAR(RAJ),2013-12-01,1209
ALWAR(RAJ),2014-12-01,1333
ALWAR(RAJ),2015-12-01,999
AMRITSAR(PB),2005-01-01,424
AMRITSAR(PB),2006-01-01,578
AMRITSAR(PB),2008-01-01,625
AMRITSAR(PB),2009-01-01,1381
AMRITSAR(PB),2010-01-01,1544
AMRITSAR(PB),2011-01-01,2929
AMRITSAR(PB),2012-01-01,700
AMRITSAR(PB),2013-01-01,1580
AMRITSAR(PB),2014-01-01,1100
AMRITSAR(PB),2015-01-01,1285
AMRITSAR(PB),2016-01-01,1160
AMRITSAR(PB),2005-02-01,388
AMRITSAR(PB),2006-02-01,392
AMRITSAR(PB),2009-02-01,1216
AMRITSAR(PB),2010-02-01,1430
AMRITSAR(PB),2011-02-01,1154
AMRITSAR(PB),2012-02-01,613
AMRITSAR(PB),2013-02-01,1343
AMRITSAR(PB),2014-02-01,829
AMRITSAR(PB),2015-02-01,1567
AMRITSAR(PB),2016-02-01,870
AMRITSAR(PB),2006-03-01,363
AMRITSAR(PB),2008-03-01,490
AMRITSAR(PB),2009-03-01,1063
AMRITSAR(PB),2010-03-01,873
AMRITSAR(PB),2011-03-01,708
AMRITSAR(PB),2012-03-01,565
AMRITSAR(PB),2013-03-01,1108
AMRITSAR(PB),2014-03-01,934
AMRITSAR(PB),2015-03-01,1383
AMRITSAR(PB),2006-04-01,350
AMRITSAR(PB),2007-04-01,637
AMRITSAR(PB),2008-04-01,532
AMRITSAR(PB),2009-04-01,794
AMRITSAR(PB),2010-04-01,763
AMRITSAR(PB),2011-04-01,665
AMRITSAR(PB),2012-04-01,592
AMRITSAR(PB),2013-04-01,1146
AMRITSAR(PB),2014-04-01,869
AMRITSAR(PB),2015-04-01,1180
AMRITSAR(PB),2005-05-01,425
AMRITSAR(PB),2006-05-01,338
AMRITSAR(PB),2007-05-01,538
AMRITSAR(PB),2008-05-01,488
AMRITSAR(PB),2009-05-01,689
AMRITSAR(PB),2010-05-01,588
AMRITSAR(PB),2011-05-01,595
AMRITSAR(PB),2012-05-01,594
AMRITSAR(PB),2013-05-01,1024
AMRITSAR(PB),2014-05-01,977
AMRITSAR(PB),2015-05-01,1100
AMRITSAR(PB),2005-06-01,339
AMRITSAR(PB),2006-06-01,329
AMRITSAR(PB),2007-06-01,568
AMRITSAR(PB),2008-06-01,415
AMRITSAR(PB),2009-06-01,609
AMRITSAR(PB),2010-06-01,541
AMRITSAR(PB),2011-06-01,490
AMRITSAR(PB),2012-06-01,604
AMRITSAR(PB),2013-06-01,1096
AMRITSAR(PB),2014-06-01,1073
AMRITSAR(PB),2015-06-01,1460
AMRITSAR(PB),2005-07-01,467
AMRITSAR(PB),2006-07-01,321
AMRITSAR(PB),2007-07-01,825
AMRITSAR(PB),2008-07-01,590
AMRITSAR(PB),2009-07-01,712
AMRITSAR(PB),2010-07-01,576
AMRITSAR(PB),2011-07-01,708
AMRITSAR(PB),2012-07-01,653
AMRITSAR(PB),2013-07-01,1789
AMRITSAR(PB),2014-07-01,1841
AMRITSAR(PB),2015-07-01,1728
AMRITSAR(PB),2005-08-01,450
AMRITSAR(PB),2006-08-01,350
AMRITSAR(PB),2007-08-01,1088
AMRITSAR(PB),2008-08-01,809
AMRITSAR(PB),2009-08-01,858
AMRITSAR(PB),2010-08-01,813
AMRITSAR(PB),2011-08-01,975
AMRITSAR(PB),2012-08-01,670
AMRITSAR(PB),2014-08-01,1548
AMRITSAR(PB),2015-08-01,2647
AMRITSAR(PB),2005-09-01,1037
AMRITSAR(PB),2007-09-01,1447
AMRITSAR(PB),2008-09-01,825
